50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,block_deflection,clearance_other,foul_committed_card,foul_committed_offensive,goalkeeper_punched_out,pass_deflected,pass_outswinging,shot_deflected,shot_one_on_one,shot_open_goal,pass_miscommunication,foul_committed_penalty,foul_won_penalty,block_save_block,dribble_no_touch,goalkeeper_success_in_play,player_off_permanent,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_lost_out,shot_redirect,shot_follows_dribble,goalkeeper_shot_saved_to_post,shot_saved_to_post,goalkeeper_lost_in_play,goalkeeper_penalty_saved_to_post,half_start_late_video_start,goalkeeper_success_out
,,,,,,,,,,,,,,,,,,1.067236,,,,,,,,,,,53420ac3-1537-4151-848e-b7cc2b9ae383,566,,,"[99.3, 11.2]",3901199,11,,,,,1.2777585,26f84318-e2cd-44d9-aed9-ce575e892c5b,Left Foot,True,,"[106.3, 34.4]",True,Ground Pass,,24.233036,,,Kamil Grosicki,5667.0,,,,,,,1,From Counter,Giovanni-Guy Yann Sio,3018.0,Center Forward,22,Rennes,134,['7d1df17b-ef52-46f8-bafe-ed8153e9432b'],26,,,,,,,,,,,,,,,,Rennes,134,00:11:26.862,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.411124,,,,,,,,,,,6d8f196c-5d3c-430a-b671-0eee23b4f86d,678,,,"[105.1, 24.3]",3901199,14,,,,,1.2346582,2a3e25ea-0086-43f9-9931-5484272721a6,Left Foot,,,"[108.0, 32.6]",True,Ground Pass,,8.792042,,,Ousmane Dembélé,5477.0,,,,,,,1,From Throw In,Kamil Grosicki,5667.0,Right Wing,26,Rennes,134,['08267fe1-4107-4905-8886-385e5fede3e1'],1,,,,,,,,,,,,,,,,Rennes,134,00:14:01.009,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.940952,,,,,,,,,,,9271a87d-bbf8-455d-9a17-9375e1a8c806,2890,,,"[39.2, 44.0]",3901199,66,,,,,0.5373214,db1a5930-eed0-4abc-a2d4-359096604e84,Left Foot,,,"[82.0, 69.5]",True,High Pass,,49.82058,,,Ousmane Dembélé,5477.0,,,,,,Recovery,2,From Counter,Sylvain Armand,40699.0,Left Center Back,139,Rennes,134,['1ae6bcdd-dbdf-4a4d-8e82-03287775a5d8'],8,,,,,,,,,,,,,,,,Rennes,134,00:21:08.351,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.597568,,,,,,,,,,,2a0947be-bf97-423b-8dd3-eb3b9bbe2d9a,1448,,,"[77.2, 16.5]",3901178,33,,,,,0.7227189,01748feb-b160-4f9b-b828-2c25f1ef25c4,Right Foot,,,"[102.6, 38.9]",True,Ground Pass,,33.866207,,,Abdul Majeed Waris,7615.0,,,,Through Ball,True,,1,Regular Play,Walid Mesloub,7766.0,Left Defensive Midfield,81,Lorient,165,['7faf5bd9-ca1d-420a-ad58-2d4d1553edcc'],52,,,,,,,,,,,,,,,,Lorient,165,00:33:52.227,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.582343,,,,,,,,,,,0efb32ef-e45e-4d68-a473-6e5aaad5712a,1087,,,"[98.2, 22.8]",3901260,26,,,,,1.202771,ac000b70-d02c-43fe-bcf0-f7201e87d3db,Right Foot,,,"[107.3, 46.4]",True,High Pass,,25.293674,,,Benjamin Moukandjo Bilé,33178.0,,,,,,,1,Regular Play,Jimmy Cabot,7336.0,Left Midfield,57,Lorient,165,['d4849f89-8c09-4677-8bc2-46d73edff3bd'],13,,,,,,,,,,,,,,,,Lorient,165,00:26:13.726,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.440745,,,,,,,,,,,1a1b90b0-0d3c-48b0-984e-7267a0b8365c,1018,,,"[57.0, 39.0]",3829470,24,,,,,0.8812864,0633d256-e298-48d1-8dd3-306316b56175,Left Foot,,,"[86.6, 74.9]",True,High Pass,,46.52924,,,Jonathan Bamba,4256.0,,,,,,,1,Regular Play,Florentin Pogba,4802.0,Left Center Back,55,Saint-Étienne,135,['a75bf251-0d71-4dfd-bf52-998249e51b74'],55,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:55.340,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.204658,,,,,,,,,,,f6fecee4-1140-4749-a59f-a4c38db650d5,1877,,,"[85.2, 30.8]",3829470,46,,,,,0.6673061,ecb0ce5b-8957-4606-a1c0-6ff580844a90,Right Foot,,,"[108.3, 49.0]",True,High Pass,,29.408333,,,Robert Berič,4601.0,,,,,,Recovery,2,From Corner,Vincent Pajot,3414.0,Right Defensive Midfield,104,Saint-Étienne,135,['4446939e-204a-45a1-a52d-552449f878af'],49,,,,,,,,,,,,,,,,Saint-Étienne,135,00:01:49.600,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.264044,,,,,,,,,,,8008b84e-155a-4900-bf49-abd25240093e,448,,,"[52.8, 43.2]",3901259,9,,,,,0.17593962,0c8e3a01-6f91-4660-b7cb-21b4b6dd6a50,Right Foot,,,"[84.3, 48.8]",True,High Pass,,31.993906,,,Fabien Camus,401470.0,,,,Through Ball,True,,1,From Counter,Benjamin Nivet,3002.0,Right Center Midfield,24,Troyes,133,['3c6330f8-2017-4878-b6aa-89e55eedc390'],6,,,,,,,,,,,,,,,,Troyes,133,00:09:06.752,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.128234,,,,,,,,,,,f3f3a4ef-c933-4cf6-8e88-2f8b61d63746,920,,,"[98.5, 9.1]",3901263,21,,,,,1.0403876,edc9706c-b30c-417d-afe9-1f31c8ac25a5,Left Foot,True,,"[114.1, 35.7]",True,High Pass,,30.83699,,,François Kamano,3405.0,,,,,,,1,From Throw In,Julian Palmieri,4508.0,Left Back,44,Bastia,2736,['e72b4202-cf86-4c8a-b1a8-37c10fc5e4a1'],9,,,,,,,,,,,,,,,,Bastia,2736,00:21:09.448,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.648383,,,,,,,,,,,6cf93293-29cd-4e19-bbcf-1c38bcd3c357,3056,,,"[96.3, 23.9]",3901263,81,,,,,0.20145507,f6d0fbf7-ffa1-404f-9d50-c77275e18f1c,Left Foot,,,"[110.5, 26.8]",True,Ground Pass,,14.493102,,,Pedro Henrique Konzen Medina da Silva,16503.0,,,,,,Recovery,2,From Free Kick,Giovanni-Guy Yann Sio,3018.0,Center Forward,156,Rennes,134,"['36856e4e-57a1-4141-bde9-fa30c64926f9', 'f6bc2aac-2ad0-47dc-9351-02148cb6aa44']",28,,,,,,,,,,,,,,,,Rennes,134,00:36:28.702,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.386787,,,,,,,,,,,f697f85b-e564-45b7-938a-8ed6650ccccf,31,,,"[63.6, 17.2]",3900594,0,,,,,0.23966427,022ae0ae-8906-4948-9c4f-6afd32908c04,Right Foot,,,"[90.2, 23.7]",True,Low Pass,,27.382658,,,Kolbeinn Sigþórsson,6284.0,,,,,,,1,From Counter,Birama Touré,7350.0,Right Defensive Midfield,3,Nantes,144,['ca53660a-bda4-459b-a32a-74a4d4e82670'],25,,,,,,,,,,,,,,,,Nantes,144,00:00:25.376,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.536672,,,,,,,,,,,0da74298-8457-4bde-836b-e568be9aff24,1173,,,"[97.5, 16.1]",3900594,29,,,,,1.0793781,70050e6c-ed16-4416-8487-ebc1e3c00e06,Right Foot,True,,"[112.7, 44.5]",True,High Pass,,32.2118,,,Alejandro Bedoya,12351.0,,,,,,,1,From Throw In,Ermir Lenjani,10746.0,Left Back,68,Nantes,144,"['76976814-fd4a-44cd-94ac-aa1ed9946bf3', 'be9e0774-1a9a-4ced-b912-336bcd3f0228']",51,,,,,,,,,,,,,,,,Nantes,144,00:29:51.780,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.679843,,,,,,,,,,,e7896b57-2daf-4ea4-828c-b8444e3f4ee6,3003,,,"[87.6, 17.7]",3900594,83,,,,,0.78121406,e5090195-7cf0-4d33-a584-ea4b6f716e3c,Right Foot,True,,"[111.6, 41.5]",True,High Pass,,33.8,,,Cheick Tidiane Diabaté,7130.0,,,,,,Free Kick,2,From Free Kick,Valentín Vada,3356.0,Right Defensive Midfield,184,Bordeaux,146,['170d8a6a-bfd2-4707-8a0a-8eb6f367d932'],21,,,,,,,,,,,,,,,,Bordeaux,146,00:38:21.846,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,True,,,,,,1.12,,,,,,,,,,,9afb0185-3149-410f-b220-f7c1c1a76be6,2747,,,"[87.4, 60.6]",3900587,74,,,,,-1.0115857,fe08f094-8a52-4894-829a-9dc3822e6c54,Right Foot,,,"[96.6, 45.9]",True,Ground Pass,,17.341568,,,Alexander Toft Søderlund,3423.0,,,,,,Interception,2,From Counter,Kévin Monnet-Paquet,4431.0,Right Wing,148,Saint-Étienne,135,"['71cdc536-e4fe-48f3-98bf-24f654d1bae0', '787c3243-6ec4-4797-b5c2-ae5ec11e2e55']",58,,,,,,,,,,,,,,,,Saint-Étienne,135,00:29:58.359,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.841199,,,,,,,,,,,f63d6bd3-76d3-499c-9d4d-8cd0ada020da,2504,,,"[109.6, 24.1]",3900541,71,,,,,1.3673984,d6c9fb8f-86e0-4c7b-95e5-053ab3540cb4,Right Foot,,,"[112.9, 40.1]",True,Low Pass,,16.33677,,,Lacina Traoré,3553.0,,,,,,,2,From Throw In,Fábio Henrique Tavares,3247.0,Right Defensive Midfield,161,AS Monaco,129,"['12959371-7789-4a85-84ee-313c2933042e', '40b82ada-f79b-4a1b-81de-01376b26215b']",7,,,,,,,,,,,,,,,,AS Monaco,129,00:26:07.711,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.078698,,,,,,,,,,,5ada7386-39fb-4646-a01f-c41919cca0fa,3071,,,"[114.0, 30.0]",3900541,83,,,,,1.512529,3fec645c-6c02-43eb-8af1-c878510f380c,Head,,,"[114.7, 42.0]",True,Low Pass,,12.020399,,,Lacina Traoré,3553.0,,,,,,,2,Regular Play,Nabil Dirar,5727.0,Right Wing,192,AS Monaco,129,['171b70f3-cd6c-45e5-9a41-5cd1cccb61e7'],25,,,,,,,,,,,,,,,,AS Monaco,129,00:38:25.346,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
