counterpress,duration,id,index,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp,type,under_pressure,pass_goal_assist,pass_straight,pass_no_touch,pass_miscommunication,formation,position_id,position_name,jersey_number
,2.117364,252cf15d-6bc6-4337-a52b-a72983cb36a3,1365,"[120.0, 0.1]",3754136,37,,,,1.7846785,58b8f80c-6544-486c-8329-fdb52321a7ba,Right Foot,,,,"[109.9, 46.6]",Low Pass,,47.58424,,,Fabricio Coloccini,26207.0,,True,Straight,,Corner,1,From Corner,Siem Stefan de Jong,8061.0,Center Attacking Midfield,82,Newcastle United,37,['afcaa5dc-18ef-45c5-b3a4-f2603170c813'],5,Newcastle United,37,00:37:05.645,Pass,,True,True,,,4231.0,19.0,Center Attacking Midfield,10.0
,2.459934,116f66bf-14c3-40ee-831d-0724b96af967,2232,"[97.9, 72.3]",3754136,60,,,,-1.4198241,fd7a29a2-13b1-4088-bc25-d26d298bd2fc,Left Foot,True,,,"[105.4, 23.0]",High Pass,,49.86722,,,Jordan Ayew,3450.0,,True,,,,2,From Corner,Jordan Veretout,7153.0,Center Attacking Midfield,134,Aston Villa,59,['1f64b30c-fb17-4122-b8af-92f280adf250'],32,Aston Villa,59,00:15:32.298,Pass,,True,,,,41212.0,19.0,Center Attacking Midfield,17.0
,0.73653,5031237e-180b-4055-ac97-8e54d6a1891f,325,"[93.4, 15.0]",3754037,6,,,,1.2751268,c2efcf8a-a8cb-4fdb-ae09-b1e9e2fbe8c2,Right Foot,,,,"[98.7, 32.4]",Ground Pass,,18.189283,,,Tom Cleverley,3683.0,,,,,,1,From Throw In,Ross Barkley,4275.0,Center Attacking Midfield,14,Everton,29,"['04852ee4-8c61-4435-8f56-6f535d31d913', '8bec4326-9e4f-47e1-b653-df900a817bd8']",39,Everton,29,00:06:39.818,Pass,True,True,,,,4231.0,19.0,Center Attacking Midfield,20.0
,0.39286,a0bf6147-a4ce-45a1-b30b-c444d579bac6,401,"[106.8, 42.7]",3754037,8,,,,-1.1689256,9a693352-6c74-42f8-a3f0-407b047cb3c5,Right Foot,,,,"[110.2, 34.7]",Low Pass,,8.692526,,,Marc Pugh,3646.0,,,,,,1,From Kick Off,Joshua King,3346.0,Right Center Forward,15,AFC Bournemouth,28,"['77935d48-1b53-409a-92e3-17a4ecac5aa1', '84e3a6bf-e4f8-4245-8dff-bbb493660dd7']",30,AFC Bournemouth,28,00:08:30.947,Pass,True,True,,,,442.0,22.0,Right Center Forward,7.0
,1.174332,22205493-9afb-4b94-be28-7edbf10af411,2616,"[108.1, 40.5]",3754037,63,,,,-1.5707964,da32d63e-dd67-4ba7-a01d-61b2fdcc379e,Right Foot,,,,"[108.1, 30.4]",Ground Pass,,10.1,,,Leighton Baines,3518.0,,,,,,2,From Keeper,Tom Cleverley,3683.0,Left Wing,117,Everton,29,['cab57078-96e1-48a0-a587-87635ab62ca2'],1,Everton,29,00:18:01.696,Pass,,True,,,,4231.0,21.0,Left Wing,15.0
,1.505445,d1111479-f52a-441e-970a-8d7fb63a95ed,1468,"[110.4, 8.1]",3754039,44,,,,1.5530677,47f5e815-0607-4b58-8940-b690442bd7be,Right Foot,True,,,"[110.9, 36.3]",High Pass,,28.204432,,,Emmanuel Adebayor,26699.0,,,,,,1,From Throw In,Connor Wickham,20641.0,Left Midfield,94,Crystal Palace,31,"['2609d4cb-4381-4826-ba80-d3ce34d45326', '7160a362-a1fb-49bc-80b4-fbab0eb5d6d3']",53,Crystal Palace,31,00:44:53.329,Pass,True,True,,,,4141.0,16.0,Left Midfield,21.0
,1.326025,662503a5-5937-40d4-b6e4-caab98e60926,280,"[108.4, 4.5]",3754041,4,,,,1.5828804,582e4334-6a74-4633-bfa3-a43bf56953c9,Left Foot,True,,,"[108.0, 37.6]",High Pass,,33.102417,,,Olivier Giroud,3604.0,,,,,,1,From Corner,Ignacio Monreal Eraso,3498.0,Left Back,6,Arsenal,1,['ceaaf098-94ea-4477-bb85-f9c9cd4acc1d'],28,Arsenal,1,00:04:28.674,Pass,,True,,,,,,,
,0.550042,f8a2f4d0-30b5-4a66-a172-c23597c2332d,3322,"[117.0, 22.9]",3754041,77,,,,1.7373797,167c79d8-3701-4e5d-8acc-820745535f50,Left Foot,True,,,"[115.1, 34.2]",Ground Pass,,11.458621,,,Olivier Giroud,3604.0,,,,,,2,Regular Play,Mesut Özil,3496.0,Center Attacking Midfield,154,Arsenal,1,['89b87b4b-4d67-40e5-b3a7-f4019074a0a0'],45,Arsenal,1,00:32:45.854,Pass,,True,,,,,,,
,2.056259,ba4e46eb-059c-4659-9a9d-5937fc00bff5,3357,"[85.1, 60.1]",3754041,79,,,,-0.82283384,230482f0-409f-4530-a7c7-aec660ba6693,Right Foot,,,,"[110.8, 32.4]",Ground Pass,,37.785976,,,Olivier Giroud,3604.0,,,Through Ball,True,,2,From Throw In,Héctor Bellerín Moruno,3511.0,Right Back,156,Arsenal,1,['42d3d8e8-c6a2-481b-8eca-2548e40b0a95'],38,Arsenal,1,00:34:38.345,Pass,,True,,,,,,,
,0.875547,949dfa53-aafb-4e4b-bccd-b12ad9cce280,599,"[93.6, 33.8]",3754042,12,,,,0.8736638,9a37f581-9233-494c-8824-894983ee9f73,Right Foot,,,,"[103.9, 46.1]",Ground Pass,,16.043068,,,José Salomón Rondón Giménez,4041.0,,,,,,1,Regular Play,Jonathan Leko,22702.0,Right Wing,26,West Bromwich Albion,27,"['3041f89f-4316-4a35-8307-ec3d5c87fece', '4cd53356-b4cd-4cba-ac6e-253a2bb2c79d']",47,West Bromwich Albion,27,00:12:47.080,Pass,True,True,,,,,,,
