counterpress,duration,id,index,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,team,team_id,timestamp,type,under_pressure,pass_goal_assist,pass_straight,pass_no_touch,pass_miscommunication,formation,position_id,position_name,jersey_number
,1.133671,45ddfb48-fdda-40c3-990d-fb9ef6e8fee9,90,"[93.5, 39.3]",3754058,1,,,,-0.75360674,72596ffe-393e-4a75-82c6-5fb82ae36d4d,Left Foot,,,,"[108.1, 25.6]",Ground Pass,,20.021238,,,Junior Stanislas,3463.0,True,,,,,1,Regular Play,Harry Arter,3304.0,Left Center Midfield,4,AFC Bournemouth,28,['a4048180-c1b9-4f93-bf53-12043d93c9d2'],30,AFC Bournemouth,28,00:01:30.351,Pass,,,,,,4141.0,15.0,Left Center Midfield,8.0
,2.221895,ab2aac8d-dcc9-48db-92a5-0034978138ad,220,"[63.8, 60.1]",3754058,4,,,,0.064968675,b2bae775-5dd8-45bf-9b84-191c7849f707,Left Foot,,,,"[105.3, 62.8]",High Pass,,41.587738,,,Joshua King,3346.0,True,,,,,1,Regular Play,Andrew Surman,3344.0,Center Defensive Midfield,9,AFC Bournemouth,28,['10aa06bc-e169-4380-afd9-4b8f839bde29'],19,AFC Bournemouth,28,00:04:19.180,Pass,,,,,,4141.0,10.0,Center Defensive Midfield,6.0
,2.684896,25c558b5-fe79-48d8-8bc7-e0462ba594cb,437,"[86.9, 14.5]",3754058,9,,,,0.93078256,7c4227e5-0759-4633-93ea-bbbe291bbd72,Right Foot,True,,,"[114.3, 51.3]",High Pass,,45.88028,,,Riyad Mahrez,3814.0,True,,,,,1,Regular Play,Marc Albrighton,3307.0,Left Midfield,16,Leicester City,22,['ae95759e-b2e6-417a-ab9c-1fe0f2d518b8'],17,Leicester City,22,00:09:17.927,Pass,,,,,,442.0,16.0,Left Midfield,11.0
,1.089281,880f1a79-5a60-4133-8eee-24eb5b531539,577,"[119.6, 27.8]",3754058,13,,,,1.9747144,8e3a6f10-64e4-49bf-a157-16b15b552713,Left Foot,True,,,"[114.3, 40.2]",High Pass,,13.485177,,,Joshua King,3346.0,True,,,,,1,From Throw In,Junior Stanislas,3463.0,Left Midfield,20,AFC Bournemouth,28,['6fa7fee0-8348-429f-8ed4-81cea1553985'],10,AFC Bournemouth,28,00:13:10.184,Pass,,,,,,4141.0,16.0,Left Midfield,19.0
,3.041577,87e16d06-837f-46b8-8480-91882b2d979c,1429,"[64.4, 26.3]",3754058,32,,,,-0.24160485,e766a3d8-8a5e-42d2-aea1-378af85d8c6b,Left Foot,,,,"[99.3, 17.7]",Ground Pass,,35.943985,,,Junior Stanislas,3463.0,True,,,,,1,From Throw In,Matt Ritchie,3049.0,Right Midfield,58,AFC Bournemouth,28,['d20bef2a-1af0-4179-a7b9-858f06ab53fd'],8,AFC Bournemouth,28,00:32:08.431,Pass,,,,,,4141.0,12.0,Right Midfield,30.0
,2.329596,e67441c6-7737-4a12-b5dc-a58a0b847025,1488,"[71.5, 53.2]",3754058,33,,,,-0.50755244,373e52d0-06f0-44bd-b62c-0a4fe528c6b4,Left Foot,,,,"[108.9, 32.4]",High Pass,,42.79486,,,José Leonardo Ulloa,3671.0,True,,,,,1,From Free Kick,Riyad Mahrez,3814.0,Right Midfield,62,Leicester City,22,['d4071109-604c-4a71-9d5d-a992a2cf579b'],49,Leicester City,22,00:33:49.795,Pass,,,,,,442.0,12.0,Right Midfield,26.0
,0.796092,56e4259e-304a-4d46-8832-1157789af973,1600,"[114.7, 56.9]",3754058,36,,,,-2.1636415,77d83d42-ad31-42c6-a606-415f6ac199b8,Left Foot,True,True,,"[108.3, 47.4]",Ground Pass,,11.454694,,,Dan Gosling,3343.0,True,,,,,1,From Free Kick,Joshua King,3346.0,Center Forward,68,AFC Bournemouth,28,['3566eb70-2cc3-42e9-9c50-3b25e43c627d'],56,AFC Bournemouth,28,00:36:56.552,Pass,,,,,,4141.0,23.0,Center Forward,17.0
,0.997959,1b16fa70-ea64-4ef0-8756-0e0682267c6a,1613,"[82.6, 29.5]",3754058,37,,,,-0.23109066,12ab3780-190a-477f-b832-8c612d0fd5b0,Left Foot,,,,"[106.4, 23.9]",Ground Pass,,24.44995,,,Jamie Vardy,10960.0,True,,Through Ball,True,,1,From Goal Kick,Riyad Mahrez,3814.0,Right Midfield,69,Leicester City,22,['5f139876-154b-4083-9201-f6bd93cf0bd7'],40,Leicester City,22,00:37:40.532,Pass,,,,,,442.0,12.0,Right Midfield,26.0
,2.599783,c031d4d2-03e8-48aa-95d6-d55f51c30681,2193,"[44.2, 9.6]",3754058,50,,,,0.2806409,75d2cbc8-05fb-4749-867b-2bf99fada8ff,Right Foot,,,,"[89.3, 22.6]",High Pass,,46.936234,,,Jamie Vardy,10960.0,True,,Through Ball,True,,2,Regular Play,Marc Albrighton,3307.0,Left Midfield,93,Leicester City,22,['9dbd4470-1a43-41d9-b085-03c69e66623d'],3,Leicester City,22,00:05:03.796,Pass,,,,,,442.0,16.0,Left Midfield,11.0
,1.351711,064f1f94-efd5-4224-8047-2acf473c7023,2663,"[85.4, 18.0]",3754058,62,,,,1.9494474,7c27fea2-e387-423b-ae7b-cd60be0ec1e7,Right Foot,,,,"[78.0, 36.6]",Ground Pass,,20.017992,,,Adam Smith,6409.0,True,,,,,2,From Throw In,Andrew Surman,3344.0,Center Defensive Midfield,118,AFC Bournemouth,28,['1b730649-898d-4727-9efd-51968cc12277'],56,AFC Bournemouth,28,00:17:56.573,Pass,,,,,,4141.0,10.0,Center Defensive Midfield,6.0
,1.931479,63640ff6-d281-428d-b762-9bf6b948b23c,2770,"[95.1, 0.1]",3754058,69,,,,1.1130922,a9326c0b-1e10-43f1-8d0d-de63ca8a6114,,,,,"[108.4, 27.1]",High Pass,,30.098007,,,Robert Huth,40123.0,True,,,,Throw-in,2,From Throw In,Christian Fuchs,3812.0,Left Back,129,Leicester City,22,['a6d2ffc8-0f92-4f12-90bb-87594aa1020c'],8,Leicester City,22,00:24:08.052,Pass,,,,,,442.0,6.0,Left Back,28.0
,1.844992,dda8b1bd-cd8a-4365-84f4-4f4d14df87aa,2789,"[95.7, 1.6]",3754058,69,,,,1.3355639,24f7f6d4-bbb0-45da-8414-2cb58af7d8f4,Right Foot,,,,"[98.6, 13.7]",Low Pass,,12.442669,,,Charlie Daniels,3345.0,True,,,,,2,Regular Play,Junior Stanislas,3463.0,Left Midfield,135,AFC Bournemouth,28,"['0be3c481-ebe4-4d1a-85dc-79c72e1384d3', 'b1b8717a-11f5-46ea-b327-62f4e254f931']",39,AFC Bournemouth,28,00:24:39.428,Pass,True,,,,,4141.0,16.0,Left Midfield,19.0
,0.713026,d306ddd2-19da-4e16-b2f7-94bbe35003a0,3001,"[109.3, 68.3]",3754058,75,,,,-1.5793431,7db239ff-9ff2-4e31-bb58-acb3a1cba52e,Right Foot,True,,,"[109.1, 44.9]",Ground Pass,,23.400854,,,N''Golo Kanté,3961.0,True,,,,,2,From Throw In,Ritchie De Laet,28782.0,Right Back,149,Leicester City,22,['4cc13d8e-eeb5-47eb-bb3a-645a534965c7'],35,Leicester City,22,00:30:35.670,Pass,,,,,,,,,
,0.583152,745825e4-1020-48e2-b0ff-44297c0f178a,3144,"[95.7, 60.0]",3754058,79,,,,-1.4963075,3ca8bc18-6083-4d5a-afc1-4dc20de42e43,Left Foot,,,,"[96.2, 53.3]",Ground Pass,,6.718631,,,Dan Gosling,3343.0,True,,,,Recovery,2,Regular Play,Matt Ritchie,3049.0,Right Midfield,160,AFC Bournemouth,28,['5abd3704-2d4b-4f06-ac24-88cfc00af982'],50,AFC Bournemouth,28,00:34:50.401,Pass,,,,,,4141.0,12.0,Right Midfield,30.0
,1.157077,0af56938-0107-4d36-8a4b-d4f742097cd6,3238,"[120.0, 80.0]",3754058,82,,,,-1.7763458,ae5dfce5-95e6-47b1-b2e3-abc11d7d59f2,Left Foot,,,,"[114.6, 54.1]",High Pass,True,26.456945,,,Jamie Vardy,10960.0,True,,Inswinging,,Corner,2,From Corner,Riyad Mahrez,3814.0,Right Midfield,167,Leicester City,22,['473c24d9-2f8b-4cdc-b970-90379b2c304e'],58,Leicester City,22,00:37:58.060,Pass,,,,,,442.0,12.0,Right Midfield,26.0
,1.5689,00681dcb-9d2e-41af-9ba7-6970fed42cdc,3289,"[85.9, 34.1]",3754058,84,,,,-1.0647213,39ba03e1-5445-4735-a38e-c0b8330d9883,Right Foot,,,,"[99.7, 9.2]",Ground Pass,,28.468403,,,N''Golo Kanté,3961.0,True,,,,,2,Regular Play,Danny Drinkwater,3662.0,Right Center Midfield,171,Leicester City,22,['ce055397-76d2-4f15-ab2f-98a5fc28deac'],55,Leicester City,22,00:39:55.818,Pass,,,,,,442.0,13.0,Right Center Midfield,4.0
,1.173218,a859482d-f785-4b8d-a387-bdc8f8d0191e,3299,"[106.7, 42.0]",3754058,85,,,True,-2.9265778,4a791b58-400d-412b-89e9-7d6a8dc6d454,,,,,"[98.0, 40.1]",Low Pass,,8.905055,,,Danny Drinkwater,3662.0,True,,,,Recovery,2,Regular Play,Jamie Vardy,10960.0,Left Center Forward,171,Leicester City,22,"['34616306-e039-481f-a322-4eb0b41107d9', 'ba063e63-a712-45ad-a9ad-323b5e76630f']",7,Leicester City,22,00:40:07.562,Pass,True,,,,,442.0,24.0,Left Center Forward,9.0
