50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,bad_behaviour_card,dribble_overrun,miscontrol_aerial_won,pass_deflected,pass_inswinging,pass_straight,pass_through_ball,ball_recovery_offensive,block_deflection,block_offensive,shot_one_on_one,dribble_no_touch,foul_committed_offensive,shot_deflected,shot_open_goal,block_save_block,goalkeeper_punched_out,foul_won_penalty,shot_redirect,goalkeeper_success_in_play,goalkeeper_shot_saved_off_target,shot_saved_off_target,shot_follows_dribble,goalkeeper_shot_saved_to_post,shot_saved_to_post,goalkeeper_lost_in_play,goalkeeper_lost_out,half_start_late_video_start,player_off_permanent,pass_start_x,pass_start_y,pass_end_x,pass_end_y
,,,,,,,,,,,,,,,1.030573,,,,,,,,,,,,,3ce9036e-584a-488c-a4d7-351e4eaed792,439,,,"[111.6, 6.1]",3879863,9,,,,1.5572836,2a3e2865-60e6-4cb2-a06b-f9f0ef12cf1a,Left Foot,True,,"[112.0, 35.7]",True,High Pass,29.602703,,,,,Duván Esteban Zapata Banguera,7017.0,,,,,1,From Throw In,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,20,Udinese,230,['9a709709-18df-4664-bf39-defc8a118721'],29,,,,,,,,,,,,,,,,Udinese,230,00:09:29.867,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6,6.1,112.0,35.7
,,,,,,,,,,,,,,,0.845047,,,,,,,,,,,,,eb743671-ea62-4225-a99f-9156bcf85d08,477,,,"[88.5, 19.6]",3879773,11,,,,1.0205492,c903f14a-fc2f-4162-ac9c-fe113493bd3e,Right Foot,,,"[95.8, 31.5]",True,Ground Pass,13.960659,,,,,Daniel Ciofani,13613.0,,,,,1,Regular Play,Federico Dionisi,24235.0,Left Center Forward,22,Frosinone,291,['e8dc8afd-44d6-4d83-8761-2cc9514829a6'],50,,,,,,,,,,,,,,,,Frosinone,291,00:11:50.760,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,19.6,95.8,31.5
,,,,,,,,,,,,,,,1.319141,,,,,,,,,,,,,8beff8aa-af70-4cac-b22c-1039c7fca82a,2559,,,"[93.0, 0.1]",3879773,59,,,,1.0822059,89a10080-7ca6-4a2d-8137-7fbfde9b3749,Left Foot,True,,"[113.2, 38.1]",True,High Pass,43.035336,,,,,Leonardo Blanchard,387847.0,,,,Free Kick,2,From Free Kick,Daniel Pavlovic,8661.0,Left Back,110,Frosinone,291,['c8056166-65b4-4580-8cc7-3542af9fe029'],35,,,,,,,,,,,,,,,,Frosinone,291,00:14:35.167,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,0.1,113.2,38.1
,,,,,,,,,,,,,,,1.552273,,,,,,,,,,,,,742cbb18-63e5-4039-befb-8a854009c010,377,,,"[120.0, 0.1]",3879847,11,,,,1.8388526,767708f9-c48c-495d-863a-8e41996bbbc9,Left Foot,,,"[109.7, 37.6]",True,High Pass,38.888817,,,,True,Pontus Jansson,4709.0,,,Outswinging,Corner,1,From Corner,Gastón Alexis Silva Perdomo,28289.0,Left Center Back,13,Torino,241,['7a3475b7-242a-49ec-bf29-3ede580b192c'],13,,,,,,,,,,,,,,,,Torino,241,00:11:13.098,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,0.1,109.7,37.6
,,,,,,,,,,,,,,,1.489053,,,,,,,,,,,,,18500c5c-1c9b-4328-9749-7f91fe80a5c1,1698,,,"[104.3, 4.7]",3879847,46,,,,1.440048,64825150-6c5f-4299-ab55-172f1aa39799,Right Foot,True,,"[108.6, 37.4]",True,High Pass,32.98151,,,,,Felipe Dias da Silva dal Belo,6938.0,,,,,2,From Throw In,Bruno Miguel Borges Fernandes,5204.0,Left Center Midfield,94,Udinese,230,['e495aed6-6c08-491a-8119-da4a6989297d'],50,,,,,,,,,,,,,,,,Udinese,230,00:01:50.184,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,4.7,108.6,37.4
,,,,,,,,,,,,,,,1.930742,,,,,,,,,,,,,81878f2b-e5a0-4bb4-8b28-7a310dc5dfeb,1811,,,"[63.1, 47.8]",3879847,49,,,,0.32702756,be20d8bf-9586-4ccd-918b-5ca24a1b1aa9,Right Foot,,,"[85.8, 55.5]",True,Low Pass,23.970398,,,,,Josef Alexander Martínez Mencia,12619.0,,,,,2,From Throw In,Afriyie Acquah,7474.0,Right Center Midfield,100,Torino,241,"['60500a27-b004-4649-b8b1-6f7f519a3802', '72d3df7a-f6fe-4a48-b55e-c6c4552c9e7c']",34,,,,,,,,,,,,,,,,Torino,241,00:04:34.756,Pass,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,47.8,85.8,55.5
,,,,,,,,,,,,,,,0.357467,,,,,,,,,,,,,743c4a75-a7b2-41ec-a6f9-c81be2af0508,2005,,,"[30.6, 54.4]",3879847,55,,,,-1.5191182,b699d80f-a7de-4a6c-b829-5d65834b4c13,Head,,,"[30.9, 48.6]",True,Low Pass,5.8077536,,,,,Andrea Belotti,7471.0,,,,Recovery,2,From Counter,Josef Alexander Martínez Mencia,12619.0,Left Center Forward,116,Torino,241,['47f11575-bc08-41ef-9553-cb89631282f7'],27,,,,,,,,,,,,,,,,Torino,241,00:10:27.703,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,54.4,30.9,48.6
,,,,,,,,,,,,,,,0.917462,,,,,,,,,,,,,e09ad441-9841-483e-8ae8-166615397124,502,,,"[88.9, 39.4]",3879862,11,,,,-0.92968756,be792d71-b582-4dc6-a1ca-825870465ddb,Right Foot,,,"[98.9, 26.0]",True,Ground Pass,16.720047,,,,,Gonzalo Gerardo Higuaín,5497.0,,,,,1,From Free Kick,Marek Hamšík,7025.0,Left Center Midfield,30,Napoli,227,['61d3e2ab-41a8-4102-baca-515f46f4e65e'],52,,,,,,,,,,,,,,,,Napoli,227,00:11:52.706,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,39.4,98.9,26.0
,,,,,,,,,,,,,,,0.817677,,,,,,,,,,,,,602033f4-8223-4052-86b9-3257de2b2890,917,,,"[116.6, 23.3]",3879862,19,,,,1.6202066,2d049e36-3066-4b8f-9077-dde6b2967212,Left Foot,True,,"[115.7, 41.5]",True,Ground Pass,18.222239,,,,,José María Callejón Bueno,7029.0,,,,,1,From Throw In,Marek Hamšík,7025.0,Left Center Midfield,45,Napoli,227,['f1e0330d-cfa3-4f3a-81a6-78449a4a373a'],2,,,,,,,,,,,,,,,,Napoli,227,00:19:02.174,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6,23.3,115.7,41.5
,,,,,,,,,,,,,,,1.777601,,,,,,,,,,,,,e7ee64f9-a469-413b-bd73-36e3a313f4e7,3029,,,"[84.1, 49.2]",3879862,65,,,,-0.549318,db9909f4-a97e-4bf2-a9f9-ab2189684218,Right Foot,,,"[110.4, 33.1]",True,High Pass,30.836666,,,,,Bruno da Silva Peres,6965.0,,,Through Ball,,2,Regular Play,Giuseppe Vives,40430.0,Center Defensive Midfield,133,Torino,241,"['1778aaee-9ffa-4ba9-9e24-4b00260f42f9', '9c94977d-eca5-41b4-9661-a08d2f9be174']",0,,,,,,,,,,,,,,,,Torino,241,00:20:00.371,Pass,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,84.1,49.2,110.4,33.1
,,,,,,,,,,,,,,,2.256147,,,,,,,,,,,,,c5f23e64-894e-4c15-a769-98e1143ee6e9,204,,,"[75.2, 21.0]",3879817,3,,,,0.5140354,9bb1fc56-f653-4b8a-bdf9-c3882c819755,Right Foot,,,"[106.9, 38.9]",True,High Pass,36.40467,,,,,Mauro Emanuel Icardi Rivero,6987.0,,,Through Ball,,1,From Throw In,Gary Alexis Medel Soto,16453.0,Right Defensive Midfield,9,Inter Milan,238,['27bd76ec-c925-4fa1-b3d6-31f5c773918a'],25,,,,,,,,,,,,,,,,Inter Milan,238,00:03:25.744,Pass,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,75.2,21.0,106.9,38.9
